Title;Number of characters;Number of lines;Script size (UTF-8);Script size (JSIS)
Natsuiro Kokoro Log;697122;33340;2545;1697
Shukusei no Girlfriend -the destiny star of girlfriend-;154677;10813;561;374
Otome Domain;603626;29269;2183;1455
Uchi no Pet Jijou Vol. 1;139569;6332;487;325
"Function:W();";52926;2912;183;122
Koi Suru Kanojo no Bukiyou na Butai;865194;56124;3052;2035
Loca Love - Dousei x Kouhai;103720;5513;380;254
Sanoba Witch;1091137;53177;3921;2614
Fureraba ~Friend to Lover~;964429;51852;3472;2315
Yami no Koe Zero;198150;9690;683;455
Rance 02 Kai: Hangyaku no Shoujo-tachi;188301;16642;718;479
AstralAir no Shiroki Towa Finale -Shiroki Hoshi no Yume-;390880;17873;1298;865
Hikari no Umi no Apeiria ~Casablanca no Kishi~;266896;18510;983;656
Majo Koi Nikki;577824;39032;2119;1412
Hoshi Ori Yume Mirai;1705367;113694;6047;4031
Hito de Naku, Hitodenashi;39040;2057;132;88
Yuujaku Bourou;107670;9098;377;251
Ao no Kanata no Four Rhythm EXTRA2;223389;9122;770;513
School of Talent: SUZU-ROUTE;128955;6925;453;302
Cafe Sourire;613969;30911;2233;1488
9-nine- Haruiro Harukoi Harunokaze;197721;16896;735;490
Watashi no Real wa Juujitsu Shisugiteiru;293058;20989;1078;719
Daitoshokan no Hitsujikai -Dreaming Sheep-;457996;29068;1618;1079
Natsu no Ame;714168;40602;2524;1682
Finmelg ~HOLLOW WORLD~;109988;7172;389;259
Oshi no Love yori Koi no Love;100234;4010;346;231
Magical Charming!;641040;37958;2355;1570
Gin'iro, Haruka;1765157;126250;6360;4241
Making＊Lovers;719226;37612;2577;1719
Yosuga no Sora;762796;39384;2685;1790
Primary ~Magical★Trouble★Scramble~;942648;42055;3562;2375
Amairo Chocolata;227952;10137;792;528
CharaBration! ~Otome wa Koi shite Charabureru~;485430;33804;1832;1221
Shugaten! -Sugarfull Tempering-;376256;26093;1350;900
Noja Loli no Yandere Mokushiroku;38017;2004;133;88
Himawari no Kyoukai to Nagai Natsuyasumi;902395;51491;3249;2166
Oshi no Love yori Koi no Love ~Love or Die~;68995;2237;229;152
Rance 4 -Kyoudan no Isan-;261684;18310;1015;677
9-nine- Sorairo Sorauta Soranooto;197167;15976;717;478
9-nine- Yukiiro Yukihana Yukinoato;228451;20246;861;574
Yoake Mae yori Ruri Iro na;808915;62903;2899;1933
Hen Koi ≒ Kuro Rekishi;521738;22027;1979;1319
Hatsukoi Yohou.;595552;30497;2171;1447
Kono Oozora ni, Tsubasa o Hirogete;976744;65649;3504;2336
Amairo * Islenauts;1154072;55732;4180;2787
Sono Hana ga Saitara, Mata Boku wa Kimi ni Deau;189314;7087;648;432
Amatsutsumi;807913;43473;2902;1935
Ayakashi Gohan;546254;50145;2026;1350
Dekinai Watashi ga, Kurikaesu;936465;54051;3287;2191
Hisaki Ojou-sama to Shitsuji na Boku;121204;4695;426;284
Katahane;582510;29779;2124;1416
Clover Day's;1022797;55679;3704;2469
Summer Pockets;720182;64649;2714;1809
Nursery Rhyme;653916;32978;2282;1521
Ayakashi Gohan ~Okawari!~;539914;44282;1958;1305
Bra-Ban!;745491;41953;2780;1853
Josou Souseiki;130691;6227;462;308
Nanairo Reincarnation;686044;41551;2609;1739
Your Diary;1304621;90128;4706;3138
Dreamin' Her -Boku wa, Kanojo no Yume o Miru.-;71249;5555;266;177
Cafe Stella to Shinigami no Chou;927139;53971;3393;2262
Aete Mushi Suru Kimi to no Mirai ~Relay Broadcast~;487200;37006;1784;1189
Tokeijikake no Ley Line -Zan'ei no Yoru ga Akeru Toki-;418494;21772;1483;988
Fault Milestone Two (Side: Above);119831;8481;450;300
"Watashi ga Suki nara ""Suki"" tte Itte!";1218746;60854;4472;2982
Josou Jinja;109121;5308;386;257
Furifure 2;194187;9388;696;464
Koi x Shin Ai Kanojo;603506;37519;2147;1431
Deep Love Diary -Koibito Nikki- All Ages Free Edition;80559;5537;275;183
Date A Live: Arusu Install;430674;32306;1569;1046
9-nine- Kokonotsu Kokonoka Kokonoiro;142217;12170;524;349
Marco to Ginga Ryuu;80000;7176;315;210
Imakoi ~Succubus to Soitogeru Ore!?~;143131;6028;492;328
Ama Koi Syrups ~Hajirau Koigokoro de Shitaku Naru Amagami-sama no Koi Matsuri~;762276;28632;2746;1830
Fault Milestone One;106506;7528;363;242
Prawf Clwyd;472378;25938;1743;1162
Date A Live: Rio Reincarnation;825913;60795;3083;2055
Kimi to Kanojo to Kanojo no Koi;219913;17808;836;557
Josou Shinwa;128491;6235;457;304
Fushigi Densha;215937;16266;779;519
Rance 6 -Zeth Houkai-;769310;81842;2952;1968
Dasaku;292524;12568;1081;721
Trinoline;497712;27964;1789;1193
Loopers;132314;7741;471;315
Kimi to Yumemishi;575384;27727;2123;1415
Mouzen Philia;587991;43606;2023;1348
PARQUET;182587;13002;647;431
Mahou Shoujo Shoumou Sensen DeadΩAegis: Gaiden;45138;1388;148;99
Rance 01: Hikari o Motomete;295580;27589;1122;749
Rance 9 -Helman Kakumei-;945809;89624;3404;2269
Tarareba;453269;21002;1606;1071
Princess Frontier;782483;48683;2808;1872
Sorceress * Alive! ~the World's End Fallen Star~;839717;37681;3053;2035
Koi to Senkyo to Chocolate;757074;44271;2835;1890
Ren'ai x Royale;668502;21950;2201;1467
Professor Layton vs Ace Attorney;428906;22600;1567;1045
Kimi no Koe ga Kikoeru;718526;45401;2596;1730
Hoshizora no Memoria -Wish upon a Shooting Star-;907488;55180;2953;1969
Tenshin Ranman Lucky or Unlucky!?;1109471;56164;3964;2643
Furifure;127835;7889;481;321
Harumade, Kururu.;558168;24992;1957;1304
Princess Lover!;594392;27262;2132;1421
Satsukoi ~Yuukyuu Naru Koi no Uta~;287227;23533;1054;702
Uchi wa Mou, Enki Dekinai.;719198;51830;2520;1680
ATRI -My Dear Moments-;235206;15439;818;545
Watashi wa Kyou Koko de Shinimasu.;42716;2317;155;104
Kami-sama no You na Kimi e;838275;62706;3003;2002
Jouwan Nitoukin no Uta wo Utae;185656;7264;617;411
Monkeys!¡;346739;22449;1289;860
Bishoujo Mangekyou -Norowareshi Densetsu no Shoujo-;175083;7916;642;428
Fortune Arterial;807024;62193;2840;1893
Phoenix Wright: Ace Attorney 2;380133;25438;1386;924
Umineko no Naku Koro ni Tsubasa;117055;6418;401;267
Amairo Chocolata 2;351075;16073;1217;811
Fuyukara, Kururu.;513543;27573;1769;1179
Corona Blossom;398252;16796;1410;960
Wagamama High Spec;656589;32923;2307;1538
RIDDLE JOKER;1665841;92444;6024;4016
Rance Quest;1065674;101913;4134;2756
Nora to Oujo to Noraneko Heart;652640;42052;2417;1611
Moon;249783;19427;916;611
Fraternite;664393;23135;2273;1515
Akatsuki no Goei ~Principal-tachi no Kyuujitsu~;429076;33247;1529;1019
White Album;453215;29369;1592;1061
Tokeijikake no Ley Line -Asagiri ni Chiru Hana-;373866;19102;1326;884
LEAVEs;76427;3689;266;177
Raspberry Cube;866452;39591;3065;2043
Kanojo-tachi no Ryuugi;557498;28605;1968;1312
Senren * Banka;1063534;55722;3828;2552
Otome ga Tsumugu Koi no Canvas;902046;46156;3263;2176
Iinchou wa Shounin Sezu! ~It Is a Next CHOice~;570720;32904;2161;1441
Haruka ni Aogi, Uruwashi no;1485500;115218;5020;3347
Hana wa Mijikashi, Odoreyo Otome;611734;29455;2209;1473
Futsuu no Fantasy;731513;39272;2542;1695
Flyable Heart;795278;45703;2800;1867
Lovely x Cation;677304;24602;2380;1588
Daitoshokan no Hitsujikai;1070947;69070;3774;2516
ChronoBox;476949;34591;1781;1187
Taishou x Alice Heads&Tails;475012;28962;1783;1189
Tekoire Princess! ~Boku ga Mienai Kimi no Tame~;752750;31532;2704;1804
Ao no Kanata no Four Rhythm;865005;45261;3040;2027
Tsuyokiss Nigakki;843039;73421;3065;2043
Carnival;307820;9958;1050;700
Tsuki no Kanata de Aimashou;1277847;87113;4541;3027
Hyper→Highspeed→Genius;915742;47093;3218;2145
Sadistic Blood;132821;6156;466;311
Sharin no Kuni, Himawari no Shoujo;633286;39802;2286;1524
2045, Tsuki Yori.;527883;29450;1981;1320
Apollo Justice: Ace Attorney 4;424629;25649;1540;1027
Classy ☆ Cranberry's;785398;43097;2923;1949
Rance 03 Leazas Kanraku;614568;56533;2360;1574
Hotel;753984;38407;2672;1781
Scarlett;624704;33929;2184;1456
AstralAir no Shiroki Towa;1106002;64493;3669;2446
Axanael;389572;35096;1605;1070
Extravaganza ~Mushi Mederu Shoujo~;991386;43285;3444;2296
Ochakai e no Shoutaijou;713167;53536;2616;1744
Kamikaze ☆ Explorer!;1051686;46216;3827;2551
Vanitas no Hitsuji;440763;23560;1613;1075
Hatsuyuki Sakura;540763;38269;2009;1339
Phoenix Wright: Ace Attorney;432955;28707;1584;1056
Mushitsukai;225517;12597;835;557
Ai ♂ Mai ♀ Misuto;718736;34962;2571;1714
AMBITIOUS MISSION;806509;65046;2880;1920
Phoenix Wright: Ace Attorney 3;485314;29707;1777;1185
Akatsuki no Goei;623987;49951;2233;1489
Kichikuou Rance;1049459;89587;3784;2522
Tsukikage no Simulacre;285345;13780;981;654
Phoenix Wright: Ace Attorney 6;728479;43670;2555;1703
Gore Screaming Show;851338;37382;2935;1956
Boku no Kanojo wa Gatenkei;420735;35660;1411;941
